sr h Ndt NI LI RI NR LR RR NC NCC LC LCC RC RCC RNL RNR
1 0.250000 16 2.01 6.09 4.99 9.95e-04 5.15e-03 4.80e-03 0.1120 0.1120 0.0707 0.0707 0.0689 0.0689 1.58 1.62
2 0.250000 16 2.01 6.09 4.99 9.95e-04 5.15e-03 4.80e-03 0.0686 0.1806 0.0569 0.1276 0.0518 0.1207 1.21 1.32
